[1;34m[src/utils/log.c:30 init_log] Log is written to /home/xietianle/ysyx-workbench/am-kernels/kernels/bird/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:60 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:63 load_img] The image is /home/xietianle/ysyx-workbench/am-kernels/kernels/bird/build/bird-fly-riscv32-nemu.bin, size = 16164[0m
[1;34m[src/monitor/monitor.c:29 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:30 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:33 welcome] Build time: 22:59:36, Sep  4 2025[0m
[1;34m[src/monitor/monitor.c:36 welcome] Exercise: Please remove me in the source code and compile NEMU again.[0m
0x80000000: 00 00 04 13 addi	s0, zero, 0
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
